ChEBI ID	Name	SMILES	Molecular Mass	ChEBI URL
CHEBI:10115	zingiberene	CC(C)=CCC[C@H](C)[C@@H]1C=CC(C)=CC1	204.357	https://www.ebi.ac.uk/chebi/CHEBI:10115
CHEBI:10213	alpha-amyrin	C[C@H]1[C@H](C)CC[C@]2(C)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@H]12	426.729	https://www.ebi.ac.uk/chebi/CHEBI:10213
CHEBI:10216	cedr-8-ene	CC1=CC[C@@]23C[C@@H]1C(C)(C)[C@@H]2CC[C@H]3C	204.357	https://www.ebi.ac.uk/chebi/CHEBI:10216
CHEBI:10221	alpha-copaene	CC1=CC[C@H]2[C@H]3C1[C@@]2(C)CC[C@H]3C(C)C	204.357	https://www.ebi.ac.uk/chebi/CHEBI:10221
CHEBI:10278	alpha-eudesmol	CC1=CCC[C@]2(C)CC[C@@H](C(C)(C)O)C[C@@H]12	222.372	https://www.ebi.ac.uk/chebi/CHEBI:10278
CHEBI:10280	(E,E)-alpha-farnesene	C=C/C(C)=C/C/C=C(\C)CCC=C(C)C	204.357	https://www.ebi.ac.uk/chebi/CHEBI:10280
CHEBI:10334	alpha-terpinene	CC1=CC=C(C(C)C)CC1	136.238	https://www.ebi.ac.uk/chebi/CHEBI:10334
CHEBI:10352	beta-amyrin	CC1(C)CC[C@]2(C)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1	426.729	https://www.ebi.ac.uk/chebi/CHEBI:10352
CHEBI:10357	(-)-beta-caryophyllene	C=C1CC/C=C(\C)CC[C@@H]2[C@@H]1CC2(C)C	204.357	https://www.ebi.ac.uk/chebi/CHEBI:10357
CHEBI:10363	beta-cubebene	C=C1CC[C@@]23[C@@H]([C@@H]12)[C@H](C(C)C)CC[C@H]3C	204.357	https://www.ebi.ac.uk/chebi/CHEBI:10363
CHEBI:10417	beta-eudesmol	C=C1CCC[C@]2(C)CC[C@@H](C(C)(C)O)C[C@@H]12	222.372	https://www.ebi.ac.uk/chebi/CHEBI:10417
CHEBI:10418	trans-beta-farnesene	C=CC(=C)CC/C=C(\C)CCC=C(C)C	204.357	https://www.ebi.ac.uk/chebi/CHEBI:10418
CHEBI:10440	(-)-beta-santalene	C=C1[C@@H]2CC[C@@H](C2)[C@@]1(C)CCC=C(C)C	204.357	https://www.ebi.ac.uk/chebi/CHEBI:10440
CHEBI:10443	(+)-beta-selinene	C=C(C)[C@@H]1CC[C@@]2(C)CCCC(=C)[C@@H]2C1	204.357	https://www.ebi.ac.uk/chebi/CHEBI:10443
CHEBI:10577	gamma-terpinene	CC1=CCC(C(C)C)=CC1	136.238	https://www.ebi.ac.uk/chebi/CHEBI:10577
CHEBI:10782	(S)-(-)-perillyl alcohol	C=C(C)[C@@H]1CC=C(CO)CC1	152.237	https://www.ebi.ac.uk/chebi/CHEBI:10782
CHEBI:1156	2-hydroxyestrone	C[C@]12CC[C@@H]3C4=C(C=C(O)C(O)=C4)CC[C@H]3[C@@H]1CCC2=O	286.371	https://www.ebi.ac.uk/chebi/CHEBI:1156
CHEBI:128	(S)-(-)-alpha-terpineol	CC1=CC[C@@H](C(C)(C)O)CC1	154.253	https://www.ebi.ac.uk/chebi/CHEBI:128
CHEBI:128753	(2E)-4-hydroxy-3-methylbut-2-enyl diphosphate(3-)	C/C(=C\COP(=O)([O-])OP(=O)([O-])[O-])CO	259.067	https://www.ebi.ac.uk/chebi/CHEBI:128753
CHEBI:128769	isopentenyl diphosphate(3-)	C=C(C)CCOP(=O)([O-])OP(=O)([O-])[O-]	243.068	https://www.ebi.ac.uk/chebi/CHEBI:128769
CHEBI:129	(-)-beta-phellandrene	C=C1C=C[C@@H](C(C)C)CC1	136.238	https://www.ebi.ac.uk/chebi/CHEBI:129
CHEBI:131856	3,5-dimethylorsellinate	CC1=C(C)C(C(=O)[O-])=C(O)C(C)=C1O	195.194	https://www.ebi.ac.uk/chebi/CHEBI:131856
CHEBI:131857	(3R)-farnesyl-2,3,5-trimethyl-6-oxido-4-oxocyclohexa-1,5-diene-1-carboxylate	CC(C)=CCC/C(C)=C/CC/C(C)=C/C[C@@]1(C)C(=O)C(C)=C([O-])C(C(=O)[O-])=C1C	398.543	https://www.ebi.ac.uk/chebi/CHEBI:131857
CHEBI:131964	(14S,15R)-EET(1-)	CCCCC[C@H]1O[C@H]1C/C=C\C/C=C\C/C=C\CCCC(=O)[O-]	319.465	https://www.ebi.ac.uk/chebi/CHEBI:131964
CHEBI:131965	(14R,15S)-EET(1-)	CCCCC[C@@H]1O[C@@H]1C/C=C\C/C=C\C/C=C\CCCC(=O)[O-]	319.465	https://www.ebi.ac.uk/chebi/CHEBI:131965
CHEBI:131969	(11S,12R)-EET(1-)	CCCCC/C=C\C[C@H]1O[C@H]1C/C=C\C/C=C\CCCC(=O)[O-]	319.465	https://www.ebi.ac.uk/chebi/CHEBI:131969
CHEBI:131970	(11R,12S)-EET(1-)	CCCCC/C=C\C[C@@H]1O[C@@H]1C/C=C\C/C=C\CCCC(=O)[O-]	319.465	https://www.ebi.ac.uk/chebi/CHEBI:131970
CHEBI:131974	(8S,9R)-EET(1-)	CCCCC/C=C\C/C=C\C[C@H]1O[C@H]1C/C=C\CCCC(=O)[O-]	319.465	https://www.ebi.ac.uk/chebi/CHEBI:131974
CHEBI:131975	(8R,9S)-EET(1-)	CCCCC/C=C\C/C=C\C[C@@H]1O[C@@H]1C/C=C\CCCC(=O)[O-]	319.465	https://www.ebi.ac.uk/chebi/CHEBI:131975
CHEBI:132024	19-HETrE(1-)	CC(O)CCCCCC/C=C\C/C=C\C/C=C\CCCC(=O)[O-]	321.481	https://www.ebi.ac.uk/chebi/CHEBI:132024
CHEBI:132025	21-HDoHE(1-)	CC(O)/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)[O-]	343.487	https://www.ebi.ac.uk/chebi/CHEBI:132025
CHEBI:132830	delta-elemene	C=C[C@@]1(C)CCC(C(C)C)=C[C@@H]1C(=C)C	204.357	https://www.ebi.ac.uk/chebi/CHEBI:132830
CHEBI:132831	beta-maaliene	CC1=C2[C@H]3[C@@H](CC[C@]2(C)CCC1)C3(C)C	204.357	https://www.ebi.ac.uk/chebi/CHEBI:132831
CHEBI:133345	10-HETE(1-)	CCCCC/C=C\C/C=C\C(O)/C=C\C/C=C\CCCC(=O)[O-]	319.465	https://www.ebi.ac.uk/chebi/CHEBI:133345
CHEBI:136410	(4Z,7Z,10Z,13Z,16Z,19R,20S)-19,20-epoxydocosapentaenoate	CC[C@@H]1O[C@@H]1C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)[O-]	343.487	https://www.ebi.ac.uk/chebi/CHEBI:136410
CHEBI:136411	(4Z,7Z,10Z,13Z,16Z,19S,20R)-19,20-epoxydocosapentaenoate	CC[C@H]1O[C@H]1C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)[O-]	343.487	https://www.ebi.ac.uk/chebi/CHEBI:136411
CHEBI:136439	(5Z,11Z,14Z,17Z)-8,9-epoxyicosatetraenoate	CC/C=C\C/C=C\C/C=C\CC1OC1C/C=C\CCCC(=O)[O-]	317.449	https://www.ebi.ac.uk/chebi/CHEBI:136439
CHEBI:136441	(5Z,8Z,14Z,17Z)-11,12-epoxyicosatetraenoate	CC/C=C\C/C=C\CC1OC1C/C=C\C/C=C\CCCC(=O)[O-]	317.449	https://www.ebi.ac.uk/chebi/CHEBI:136441
CHEBI:136443	(5Z,8Z,11Z,17Z)-14,15-epoxyicosatetraenoate	CC/C=C\CC1OC1C/C=C\C/C=C\C/C=C\CCCC(=O)[O-]	317.449	https://www.ebi.ac.uk/chebi/CHEBI:136443
CHEBI:136524	13-HETE(1-)	CCCCC/C=C\C(O)/C=C\C/C=C\C/C=C\CCCC(=O)[O-]	319.465	https://www.ebi.ac.uk/chebi/CHEBI:136524
CHEBI:136654	13(S)-HETE(1-)	CCCCC/C=C\[C@H](O)/C=C\C/C=C\C/C=C\CCCC(=O)[O-]	319.465	https://www.ebi.ac.uk/chebi/CHEBI:136654
CHEBI:136655	13(R)-HODE(1-)	CCCCC[C@@H](O)/C=C/C=C\CCCCCCCC(=O)[O-]	295.443	https://www.ebi.ac.uk/chebi/CHEBI:136655
CHEBI:13705	acetoacetate	CC(=O)CC(=O)[O-]	101.081	https://www.ebi.ac.uk/chebi/CHEBI:13705
CHEBI:137522	(+)-isoafricanol	C[C@@H]1CC[C@H]2[C@]3(C)C[C@@H]3CC(C)(C)C[C@@]12O	222.372	https://www.ebi.ac.uk/chebi/CHEBI:137522
CHEBI:137523	(-)-spiroviolene	C[C@@H]1CC[C@H](C)[C@@]12CC[C@@H]1C2=C[C@@]2(C)CCC(C)(C)[C@@H]12	272.476	https://www.ebi.ac.uk/chebi/CHEBI:137523
CHEBI:137528	tsukubadiene	C/C1=C/C[C@H]2C(C)(C)CC[C@]2(C)/C=C2\[C@@H](CC[C@@H]2C)C1	272.476	https://www.ebi.ac.uk/chebi/CHEBI:137528
CHEBI:137530	(2S,3R,6S,9S)-(-)-protoillud-7-ene	CC1=C[C@@H]2CC(C)(C)C[C@@H]2[C@@]2(C)CC[C@@H]12	204.357	https://www.ebi.ac.uk/chebi/CHEBI:137530
CHEBI:137531	(3S)-(+)-asterisca-2(9),6-diene	C/C1=C/CC[C@H](C)C2=C(C1)CC(C)(C)C2	204.357	https://www.ebi.ac.uk/chebi/CHEBI:137531
