Entry	GO ID	GO Term	GO Link
A0A075FBG7	GO:0009686	gibberellin biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0009686
A0A075FBG7	GO:1901946	miltiradiene biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:1901946
A0A0A6ZFY4	GO:0002238	response to molecule of fungal origin	https://www.ebi.ac.uk/QuickGO/term/GO:0002238
A0A0A6ZFY4	GO:0016135	saponin biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0016135
A0A0A6ZFY4	GO:0046246	terpene biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0046246
A0A0A6ZFY4	GO:0016114	terpenoid biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0016114
A0A0E3D8M9	GO:0046165	alcohol biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0046165
A0A0E3D8M9	GO:0008299	isoprenoid biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0008299
A0A0E3D8M9	GO:0043386	mycotoxin biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0043386
A0A0E3D8P4	GO:0046165	alcohol biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0046165
A0A0E3D8P4	GO:0008299	isoprenoid biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0008299
A0A0E3D8P4	GO:0043386	mycotoxin biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0043386
A0A0M3Q1Q3	GO:0016102	diterpenoid biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0016102
A0A0M3Q1Q3	GO:0009753	response to jasmonic acid	https://www.ebi.ac.uk/QuickGO/term/GO:0009753
A0A0M3Q1Q3	GO:0009751	response to salicylic acid	https://www.ebi.ac.uk/QuickGO/term/GO:0009751
A0A0M3Q1Q3	GO:0010225	response to UV-C	https://www.ebi.ac.uk/QuickGO/term/GO:0010225
A0A0P0ZD79	GO:0046165	alcohol biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0046165
A0A0P0ZD79	GO:0043386	mycotoxin biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0043386
A0A0P0ZD79	GO:0016114	terpenoid biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0016114
A0A140JWS2	GO:0046165	alcohol biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0046165
A0A140JWS2	GO:0008299	isoprenoid biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0008299
A0A140JWS2	GO:0043386	mycotoxin biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0043386
A0A1D6EFT8	GO:0050832	defense response to fungus	https://www.ebi.ac.uk/QuickGO/term/GO:0050832
A0A1D6EFT8	GO:0016102	diterpenoid biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0016102
A0A1D6EFT8	GO:0051762	sesquiterpene biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0051762
A0A1D6EFT8	GO:0046246	terpene biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0046246
A0A1D6HSP4	GO:0006952	defense response	https://www.ebi.ac.uk/QuickGO/term/GO:0006952
A0A1D6HSP4	GO:0080027	response to herbivore	https://www.ebi.ac.uk/QuickGO/term/GO:0080027
A0A1D6HSP4	GO:0016114	terpenoid biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0016114
A0A1D6K6U5	GO:0006952	defense response	https://www.ebi.ac.uk/QuickGO/term/GO:0006952
A0A1D6K6U5	GO:0051502	diterpene phytoalexin biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0051502
A0A1D6K6U5	GO:0016102	diterpenoid biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0016102
A0A1D6K6U5	GO:0009686	gibberellin biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0009686
A0A1D6LTV0	GO:0016102	diterpenoid biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0016102
A0A1D6LTV0	GO:0009611	response to wounding	https://www.ebi.ac.uk/QuickGO/term/GO:0009611
A0A1D6LTV0	GO:0046246	terpene biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0046246
A0A1D6LTV0	GO:0016114	terpenoid biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0016114
A0A1E1FFL0	GO:0140874	paraherquonin biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0140874
A0A1L6Z3A0	GO:0016102	diterpenoid biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0016102
A0A1S5RW73	GO:0016102	diterpenoid biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0016102
A0A1S5RW73	GO:0009686	gibberellin biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0009686
A0A1V0E492	GO:1901937	beta-caryophyllene biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:1901937
A0A1V0E492	GO:0016102	diterpenoid biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0016102
A0A1V0E492	GO:0010597	green leaf volatile biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0010597
A0A1V0E492	GO:0051762	sesquiterpene biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0051762
A0A1V0E4A6	GO:1901928	cadinene biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:1901928
A0A1V0E4A6	GO:0016102	diterpenoid biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0016102
A0A1V0E4A6	GO:0010597	green leaf volatile biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0010597
A0A1V0E4A6	GO:0051762	sesquiterpene biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0051762
A0A1V0QSF9	GO:0016102	diterpenoid biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0016102
A0A1V0QSG0	GO:0016102	diterpenoid biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0016102
A0A1V0QSG6	GO:0016102	diterpenoid biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0016102
A0A1V0QSH2	GO:0016102	diterpenoid biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0016102
A0A1W6QDI7	GO:0009686	gibberellin biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0009686
A0A1W6QDI7	GO:1901946	miltiradiene biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:1901946
A0A1W6QDI7	GO:0016114	terpenoid biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0016114
A0A2K9RFZ2	GO:0009686	gibberellin biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0009686
A0A2P2GK84			
A0A2R4QKX7	GO:1901931	alpha-copaene biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:1901931
A0A2R4QKX7	GO:0016102	diterpenoid biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0016102
A0A2R4QKX7	GO:0010597	green leaf volatile biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0010597
A0A2R4QKX7	GO:0051762	sesquiterpene biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0051762
A0A348FUE1	GO:0046165	alcohol biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0046165
A0A348FUE1	GO:0008299	isoprenoid biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0008299
A0A348FUE1	GO:0043386	mycotoxin biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0043386
A0A386KZ50	GO:0071244	cellular response to carbon dioxide	https://www.ebi.ac.uk/QuickGO/term/GO:0071244
A0A386KZ50	GO:0016036	cellular response to phosphate starvation	https://www.ebi.ac.uk/QuickGO/term/GO:0016036
A0A3S5XFG0	GO:0046165	alcohol biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0046165
A0A3S5XFG0	GO:0008299	isoprenoid biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0008299
A0A3S5XFG0	GO:0043386	mycotoxin biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0043386
A0A455R4Z0	GO:0016114	terpenoid biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0016114
A0A5S9I252	GO:0008299	isoprenoid biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0008299
A0A6P6W6H5	GO:0046248	alpha-pinene biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0046248
A0A6P6W6H5	GO:0016102	diterpenoid biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0016102
A0A6P6W6H5	GO:0046250	limonene biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0046250
A0A6P6W6H5	GO:0016098	monoterpenoid metabolic process	https://www.ebi.ac.uk/QuickGO/term/GO:0016098
A0A858E6N7	GO:0008299	isoprenoid biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0008299
A0A858E7G0	GO:0008299	isoprenoid biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0008299
A0A8D5M3Y5	GO:0046165	alcohol biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0046165
A0A8D5M3Y5	GO:0008299	isoprenoid biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0008299
A0A8D5M3Y5	GO:0043386	mycotoxin biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0043386
A0A8H7XP09	GO:0008299	isoprenoid biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0008299
A0A8H8CMW1	GO:0008299	isoprenoid biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0008299
A1C8C3	GO:0046165	alcohol biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0046165
A1C8C3	GO:0043386	mycotoxin biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0043386
A1C8C3	GO:0016114	terpenoid biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0016114
A1DN30	GO:0046165	alcohol biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0046165
A1DN30	GO:0043386	mycotoxin biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0043386
A1DN30	GO:0016114	terpenoid biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0016114
A2PZA5	GO:0046165	alcohol biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0046165
A2PZA5	GO:0008299	isoprenoid biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0008299
A2PZA5	GO:0043386	mycotoxin biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0043386
A4FVP2	GO:0016102	diterpenoid biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0016102
A4FVP2	GO:0080027	response to herbivore	https://www.ebi.ac.uk/QuickGO/term/GO:0080027
A4FVP2	GO:0009625	response to insect	https://www.ebi.ac.uk/QuickGO/term/GO:0009625
A4FVP2	GO:0009753	response to jasmonic acid	https://www.ebi.ac.uk/QuickGO/term/GO:0009753
A4FVP2	GO:0009611	response to wounding	https://www.ebi.ac.uk/QuickGO/term/GO:0009611
A4FVP2	GO:0016106	sesquiterpenoid biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0016106
A4FVP2	GO:0046246	terpene biosynthetic process	https://www.ebi.ac.uk/QuickGO/term/GO:0046246
