Entry	Organism	Protein name	Rhea ID	EC number	Equation	Direction
A0A075FBG7	Marrubium vulgare (White horehound)	9,13-epoxylabda-14-ene synthase, chloroplastic	RHEA:54512	4.2.3.189	peregrinol diphosphate = (13R)-9,13-epoxylabd-14-ene + diphosphate	not specified
A0A075FBG7	Marrubium vulgare (White horehound)	9,13-epoxylabda-14-ene synthase, chloroplastic	RHEA:33983	4.2.3.131	(+)-copalyl diphosphate = miltiradiene + diphosphate	left-to-right
A0A075FBG7	Marrubium vulgare (White horehound)	9,13-epoxylabda-14-ene synthase, chloroplastic	RHEA:54516	4.2.3.190	8-hydroxycopalyl diphosphate = (13R)-manoyl oxide + diphosphate	not specified
A0A0A6ZFY4	Panax ginseng (Korean ginseng)	UDP-glucosyltransferase 29	RHEA:58004	2.4.1.365	(20S)-ginsenoside F2 + UDP-alpha-D-glucose = (20S)-ginsenoside Rd + UDP + H(+)	left-to-right
A0A0A6ZFY4	Panax ginseng (Korean ginseng)	UDP-glucosyltransferase 29	RHEA:58000	2.4.1.365	(20S)-ginsenoside Rh2 + UDP-alpha-D-glucose = (20S)-ginsenoside Rg3 + UDP + H(+)	left-to-right
A0A0E3D8M9	Penicillium janthinellum (Penicillium vitale)	Geranylgeranyl pyrophosphate synthase janG	RHEA:22408	2.5.1.1	isopentenyl diphosphate + dimethylallyl diphosphate = (2E)-geranyl diphosphate + diphosphate	not specified
A0A0E3D8M9	Penicillium janthinellum (Penicillium vitale)	Geranylgeranyl pyrophosphate synthase janG	RHEA:19361	2.5.1.10	isopentenyl diphosphate + (2E)-geranyl diphosphate = (2E,6E)-farnesyl diphosphate + diphosphate	not specified
A0A0E3D8M9	Penicillium janthinellum (Penicillium vitale)	Geranylgeranyl pyrophosphate synthase janG	RHEA:17653	2.5.1.29	isopentenyl diphosphate + (2E,6E)-farnesyl diphosphate = (2E,6E,10E)-geranylgeranyl diphosphate + diphosphate	not specified
A0A0E3D8P4	Penicillium crustosum (Blue mold fungus)	Geranylgeranyl pyrophosphate synthase penG	RHEA:22408	2.5.1.1	isopentenyl diphosphate + dimethylallyl diphosphate = (2E)-geranyl diphosphate + diphosphate	not specified
A0A0E3D8P4	Penicillium crustosum (Blue mold fungus)	Geranylgeranyl pyrophosphate synthase penG	RHEA:19361	2.5.1.10	isopentenyl diphosphate + (2E)-geranyl diphosphate = (2E,6E)-farnesyl diphosphate + diphosphate	not specified
A0A0E3D8P4	Penicillium crustosum (Blue mold fungus)	Geranylgeranyl pyrophosphate synthase penG	RHEA:17653	2.5.1.29	isopentenyl diphosphate + (2E,6E)-farnesyl diphosphate = (2E,6E,10E)-geranylgeranyl diphosphate + diphosphate	not specified
A0A0M3Q1Q3	Thymus vulgaris (Thyme)	Gamma-terpinene synthase 1	RHEA:32559	4.2.3.114	(2E)-geranyl diphosphate = gamma-terpinene + diphosphate	left-to-right
A0A0M3Q1Q3	Thymus vulgaris (Thyme)	Gamma-terpinene synthase 1	RHEA:32563	4.2.3.115	(2E)-geranyl diphosphate = alpha-terpinene + diphosphate	left-to-right
A0A0P0ZD79	Emericella variicolor (Aspergillus stellatus)	Variediene synthase	RHEA:17653	2.5.1.29	isopentenyl diphosphate + (2E,6E)-farnesyl diphosphate = (2E,6E,10E)-geranylgeranyl diphosphate + diphosphate	left-to-right
A0A0P0ZD79	Emericella variicolor (Aspergillus stellatus)	Variediene synthase	RHEA:25694	2.5.1.81	isopentenyl diphosphate + (2E,6E,10E)-geranylgeranyl diphosphate = (2E,6E,10E,14E)-geranylfarnesyl diphosphate + diphosphate	left-to-right
A0A0P0ZD79	Emericella variicolor (Aspergillus stellatus)	Variediene synthase	RHEA:78287	4.2.3.218	(2E,6E,10E)-geranylgeranyl diphosphate = variediene + diphosphate	left-to-right
A0A0P0ZD79	Emericella variicolor (Aspergillus stellatus)	Variediene synthase	RHEA:78291	4.2.3.219	(2E,6E,10E,14E)-geranylfarnesyl diphosphate = (R,2E)-alpha-cericerene + diphosphate	left-to-right
A0A140JWS2	Penicillium ochrochloron	Geranylgeranyl pyrophosphate synthase penG	RHEA:22408	2.5.1.1	isopentenyl diphosphate + dimethylallyl diphosphate = (2E)-geranyl diphosphate + diphosphate	not specified
A0A140JWS2	Penicillium ochrochloron	Geranylgeranyl pyrophosphate synthase penG	RHEA:19361	2.5.1.10	isopentenyl diphosphate + (2E)-geranyl diphosphate = (2E,6E)-farnesyl diphosphate + diphosphate	not specified
