ChEBI ID	Name	InChI Key	rdkit InChI Key
CHEBI:10115	zingiberene	KKOXKGNSUHTUBV-LSDHHAIUSA-N	KKOXKGNSUHTUBV-LSDHHAIUSA-N
CHEBI:10213	alpha-amyrin	FSLPMRQHCOLESF-SFMCKYFRSA-N	FSLPMRQHCOLESF-SFMCKYFRSA-N
CHEBI:10216	cedr-8-ene	IRAQOCYXUMOFCW-OSFYFWSMSA-N	IRAQOCYXUMOFCW-OSFYFWSMSA-N
CHEBI:10221	alpha-copaene	VLXDPFLIRFYIME-XIQJJJERSA-N	VLXDPFLIRFYIME-XIQJJJERSA-N
CHEBI:10278	alpha-eudesmol	FCSRUSQUAVXUKK-VNHYZAJKSA-N	FCSRUSQUAVXUKK-VNHYZAJKSA-N
CHEBI:10280	(E,E)-alpha-farnesene	CXENHBSYCFFKJS-VDQVFBMKSA-N	CXENHBSYCFFKJS-VDQVFBMKSA-N
CHEBI:10334	alpha-terpinene	YHQGMYUVUMAZJR-UHFFFAOYSA-N	YHQGMYUVUMAZJR-UHFFFAOYSA-N
CHEBI:10352	beta-amyrin	JFSHUTJDVKUMTJ-QHPUVITPSA-N	JFSHUTJDVKUMTJ-QHPUVITPSA-N
CHEBI:10357	(-)-beta-caryophyllene	NPNUFJAVOOONJE-GFUGXAQUSA-N	NPNUFJAVOOONJE-GFUGXAQUSA-N
CHEBI:10363	beta-cubebene	FSRZGYRCMPZNJF-KHMAMNHCSA-N	FSRZGYRCMPZNJF-KHMAMNHCSA-N
CHEBI:10417	beta-eudesmol	BOPIMTNSYWYZOC-VNHYZAJKSA-N	BOPIMTNSYWYZOC-VNHYZAJKSA-N
CHEBI:10418	trans-beta-farnesene	JSNRRGGBADWTMC-NTCAYCPXSA-N	JSNRRGGBADWTMC-NTCAYCPXSA-N
CHEBI:10440	(-)-beta-santalene	PGBNIHXXFQBCPU-ILXRZTDVSA-N	PGBNIHXXFQBCPU-ILXRZTDVSA-N
CHEBI:10443	(+)-beta-selinene	YOVSPTNQHMDJAG-QLFBSQMISA-N	YOVSPTNQHMDJAG-QLFBSQMISA-N
CHEBI:10577	gamma-terpinene	YKFLAYDHMOASIY-UHFFFAOYSA-N	YKFLAYDHMOASIY-UHFFFAOYSA-N
CHEBI:10782	(S)-(-)-perillyl alcohol	NDTYTMIUWGWIMO-SNVBAGLBSA-N	NDTYTMIUWGWIMO-SNVBAGLBSA-N
CHEBI:1156	2-hydroxyestrone	SWINWPBPEKHUOD-JPVZDGGYSA-N	SWINWPBPEKHUOD-JPVZDGGYSA-N
CHEBI:128	(S)-(-)-alpha-terpineol	WUOACPNHFRMFPN-SECBINFHSA-N	WUOACPNHFRMFPN-SECBINFHSA-N
CHEBI:128753	(2E)-4-hydroxy-3-methylbut-2-enyl diphosphate(3-)	MDSIZRKJVDMQOQ-GORDUTHDSA-K	MDSIZRKJVDMQOQ-GORDUTHDSA-K
CHEBI:128769	isopentenyl diphosphate(3-)	NUHSROFQTUXZQQ-UHFFFAOYSA-K	NUHSROFQTUXZQQ-UHFFFAOYSA-K
CHEBI:129	(-)-beta-phellandrene	LFJQCDVYDGGFCH-SNVBAGLBSA-N	LFJQCDVYDGGFCH-SNVBAGLBSA-N
CHEBI:131856	3,5-dimethylorsellinate	NZGSNQJCTOMELT-UHFFFAOYSA-M	NZGSNQJCTOMELT-UHFFFAOYSA-M
CHEBI:131857	(3R)-farnesyl-2,3,5-trimethyl-6-oxido-4-oxocyclohexa-1,5-diene-1-carboxylate	BAJLPQKQXYOBIY-MNPZXIHOSA-L	BAJLPQKQXYOBIY-MNPZXIHOSA-L
