Substrate	Substrate ChEBI	Product	Product ChEBI	Enzyme_1	Rhea ID_1	Direction_1	Enzyme_2	Rhea ID_2	Direction_2	Enzyme_3	Rhea ID_3	Direction_3	Enzyme_4	Rhea ID_4	Direction_4	Enzyme_5	Rhea ID_5	Direction_5	Enzyme_6	Rhea ID_6	Direction_6	Enzyme_7	Rhea ID_7	Direction_7	Enzyme_8	Rhea ID_8	Direction_8	Enzyme_9	Rhea ID_9	Direction_9	Enzyme_10	Rhea ID_10	Direction_10	Enzyme_11	Rhea ID_11	Direction_11	Enzyme_12	Rhea ID_12	Direction_12	Enzyme_13	Rhea ID_13	Direction_13	Enzyme_14	Rhea ID_14	Direction_14	Enzyme_15	Rhea ID_15	Direction_15	Enzyme_16	Rhea ID_16	Direction_16	Enzyme_17	Rhea ID_17	Direction_17	Enzyme_18	Rhea ID_18	Direction_18	Enzyme_19	Rhea ID_19	Direction_19	Enzyme_20	Rhea ID_20	Direction_20	Enzyme_21	Rhea ID_21	Direction_21	Enzyme_22	Rhea ID_22	Direction_22	Enzyme_23	Rhea ID_23	Direction_23	Enzyme_24	Rhea ID_24	Direction_24	Enzyme_25	Rhea ID_25	Direction_25	Enzyme_26	Rhea ID_26	Direction_26	Enzyme_27	Rhea ID_27	Direction_27	Enzyme_28	Rhea ID_28	Direction_28	Enzyme_29	Rhea ID_29	Direction_29	Enzyme_30	Rhea ID_30	Direction_30	Enzyme_31	Rhea ID_31	Direction_31	Enzyme_32	Rhea ID_32	Direction_32	Enzyme_33	Rhea ID_33	Direction_33	Enzyme_34	Rhea ID_34	Direction_34	Enzyme_35	Rhea ID_35	Direction_35	Enzyme_36	Rhea ID_36	Direction_36	Enzyme_37	Rhea ID_37	Direction_37	Enzyme_38	Rhea ID_38	Direction_38	Enzyme_39	Rhea ID_39	Direction_39	Enzyme_40	Rhea ID_40	Direction_40	Enzyme_41	Rhea ID_41	Direction_41	Enzyme_42	Rhea ID_42	Direction_42	Enzyme_43	Rhea ID_43	Direction_43	Enzyme_44	Rhea ID_44	Direction_44	Enzyme_45	Rhea ID_45	Direction_45
alpha-terpinene	CHEBI:10334	carvacrol	CHEBI:3440	P0DO41	RHEA:67412		P0DO42	RHEA:67412																																																																																																																																		
gamma-terpinene	CHEBI:10577	thymol	CHEBI:27607	P0DO35	RHEA:67408																																																																																																																																					
gamma-terpinene	CHEBI:10577	carvacrol	CHEBI:3440	P0DO35	RHEA:67404		P0DO38	RHEA:67404		P0DO39	RHEA:67404		P0DO40	RHEA:67404		P0DO41	RHEA:67404		P0DO42	RHEA:67404																																																																																																																						
(2E)-4-hydroxy-3-methylbut-2-enyl diphosphate	CHEBI:128753	isopentenyl diphosphate	CHEBI:128769	A0A7J6F8C5	RHEA:24488																																																																																																																																					
(2E)-4-hydroxy-3-methylbut-2-enyl diphosphate	CHEBI:128753	dimethylallyl diphosphate	CHEBI:57623	A0A7J6F8C5	RHEA:24825																																																																																																																																					
isopentenyl diphosphate	CHEBI:128769	(2E)-4-hydroxy-3-methylbut-2-enyl diphosphate	CHEBI:128753	P62623	RHEA:24488	not specified																																																																																																																																				
isopentenyl diphosphate	CHEBI:128769	nerylneryl diphosphate	CHEBI:139032	K7WQ45	RHEA:55520																																																																																																																																					
isopentenyl diphosphate	CHEBI:128769	(2E,6E)-farnesyl diphosphate	CHEBI:175763	A0A0E3D8M9	RHEA:19361	not specified	A0A0E3D8P4	RHEA:19361	not specified	A0A140JWS2	RHEA:19361	not specified	A0A1V0QSH7	RHEA:19361		A0A343W970	RHEA:19361		A0A3S5XFG0	RHEA:19361	not specified	A0A7J6HWR9	RHEA:19361		A0A858E6N7	RHEA:19361		A0A858E7G0	RHEA:19361		A0A8D5M3Y5	RHEA:19361	not specified	D7PHZ5	RHEA:19361	not specified	E9F5E9	RHEA:19361	not specified	H1VQB1	RHEA:19361	not specified	I1RL14	RHEA:19361	not specified	J7FIX8	RHEA:19361	not specified	P49350	RHEA:19361		P9WEQ2	RHEA:19361	not specified	P9WEW8	RHEA:19361	not specified	P9WEX3	RHEA:19361	not specified	P9WEX9	RHEA:19361	not specified	Q4WBI4	RHEA:19361	not specified	Q56RZ3	RHEA:19361	not specified	Q56RZ7	RHEA:19361	not specified	Q672V6	RHEA:19361	not specified	Q9C446	RHEA:19361	not specified																																																												
isopentenyl diphosphate	CHEBI:128769	dimethylallyl diphosphate	CHEBI:57623	A0A7C9FSB8	RHEA:23284																																																																																																																																					
isopentenyl diphosphate	CHEBI:128769	neryl diphosphate	CHEBI:57665	C1K5M2	RHEA:11328		K7WQ45	RHEA:11328																																																																																																																																		
isopentenyl diphosphate	CHEBI:128769	(2E,6E,10E,14E)-geranylfarnesyl diphosphate	CHEBI:57907	A0A0P0ZD79	RHEA:25694		A0A0P0ZEM1	RHEA:66860		A0A0U5G0B1	RHEA:25694		A0A169T193	RHEA:25694		A0A1L9WQI2	RHEA:66860		A0A1V1FVQ6	RHEA:25694		A0A2Z6AQX6	RHEA:25694		A0A2Z6AQX7	RHEA:25694		A0A2Z6FZ31	RHEA:25694		A1C8C3	RHEA:25694		A1DN30	RHEA:25694		M2U578	RHEA:25694		M2V8C1	RHEA:25694		N4V6D4	RHEA:25694		P9WEP0	RHEA:25694		P9WER6	RHEA:66860		P9WEV2	RHEA:66860		Q0CRW6	RHEA:66860																																																																																		
isopentenyl diphosphate	CHEBI:128769	(2E)-geranyl diphosphate	CHEBI:58057	A0A0E3D8M9	RHEA:22408	not specified	A0A0E3D8P4	RHEA:22408	not specified	A0A140JWS2	RHEA:22408	not specified	A0A1V0QSH7	RHEA:22408		A0A3S5XFG0	RHEA:22408	not specified	A0A7J6HWR9	RHEA:22408		A0A858E6N7	RHEA:22408		A0A858E7G0	RHEA:22408		A0A8D5M3Y5	RHEA:22408	not specified	D7PHZ5	RHEA:22408	not specified	E9F5E9	RHEA:22408	not specified	H1VQB1	RHEA:22408	not specified	I1RL14	RHEA:22408	not specified	J7FIX8	RHEA:22408	not specified	P49350	RHEA:22408		P9WEQ2	RHEA:22408	not specified	P9WEW8	RHEA:22408	not specified	P9WEX3	RHEA:22408	not specified	P9WEX9	RHEA:22408	not specified	Q4WBI4	RHEA:22408	not specified	Q56RZ3	RHEA:22408	not specified	Q56RZ7	RHEA:22408	not specified	Q672V6	RHEA:22408	not specified	Q9C446	RHEA:22408	not specified																																																															
isopentenyl diphosphate	CHEBI:128769	all-trans-hexaprenyl diphosphate	CHEBI:58179	A0A8H4CUY8	RHEA:77975		K2SUY0	RHEA:77975		P9WER5	RHEA:77975																																																																																																																															
isopentenyl diphosphate	CHEBI:128769	(2E,6E,10E)-geranylgeranyl diphosphate	CHEBI:58756	A0A0E3D8M9	RHEA:17653	not specified	A0A0E3D8P4	RHEA:17653	not specified	A0A0P0ZD79	RHEA:17653		A0A0U5G0B1	RHEA:17653		A0A140JWS2	RHEA:17653	not specified	A0A169T193	RHEA:17653		A0A1L7VFX3	RHEA:17653		A0A1L9UKS1	RHEA:17653		A0A1V1FVQ6	RHEA:17653		A0A1Y1C7Q5	RHEA:17653		A0A2Z6AQX6	RHEA:17653		A0A2Z6AQX7	RHEA:17653		A0A2Z6FZ31	RHEA:17653		A0A348DU52	RHEA:17653		A0A348FUE1	RHEA:17653		A0A3S5XFG0	RHEA:17653	not specified	A0A858E6N7	RHEA:17653		A0A858E7G0	RHEA:17653		A0A8D5M3Y5	RHEA:17653	not specified	A0A8K1AY78	RHEA:17653	not specified	A1C8C3	RHEA:17653		A1DN30	RHEA:17653		A2PZA5	RHEA:17653	not specified	B6HFX8	RHEA:17653		C9K2Q3	RHEA:17653	not specified	E9F5E9	RHEA:17653	not specified	H1VQB1	RHEA:17653	not specified	I1RL14	RHEA:17653	not specified	J7FIX8	RHEA:17653	not specified	M2U578	RHEA:17653		M2V8C1	RHEA:17653		N4V6D4	RHEA:17653		P9WEP0	RHEA:17653		P9WEQ2	RHEA:17653	not specified	P9WEV6	RHEA:17653	not specified	P9WEV7	RHEA:17653		P9WEW8	RHEA:17653	not specified	P9WEX3	RHEA:17653	not specified	P9WEX9	RHEA:17653	not specified	Q4WBI4	RHEA:17653	not specified	Q56RZ3	RHEA:17653	not specified	Q56RZ7	RHEA:17653	not specified	Q672V6	RHEA:17653	not specified	Q9C446	RHEA:17653	not specified	W6QAE7	RHEA:17653	
