Entry	Rhea ID	Rhea Link	Equation	Direction	EC Number	Reaction SMILES	ChEBI IDs (equation order)
A0A075FBG7	RHEA:54512	https://www.rhea-db.org/rhea/54512	peregrinol diphosphate = (13R)-9,13-epoxylabd-14-ene + diphosphate	not specified	4.2.3.189	C/C(=C\COP(=O)([O-])OP(=O)([O-])[O-])CC[C@@]1(O)[C@H](C)CC[C@H]2C(C)(C)CCC[C@@]21C>>C=C[C@@]1(C)CC[C@@]2(O1)[C@H](C)CC[C@H]1C(C)(C)CCC[C@@]12C.O=P([O-])([O-])OP(=O)([O-])O	CHEBI:138232 | CHEBI:138233; CHEBI:33019
A0A075FBG7	RHEA:33983	https://www.rhea-db.org/rhea/33983	(+)-copalyl diphosphate = miltiradiene + diphosphate	left-to-right	4.2.3.131	C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)C1=CCC2=C(CC[C@H]3C(C)(C)CCC[C@]23C)C1.O=P([O-])([O-])OP(=O)([O-])O	CHEBI:58635 | CHEBI:65037; CHEBI:33019
A0A075FBG7	RHEA:54516	https://www.rhea-db.org/rhea/54516	8-hydroxycopalyl diphosphate = (13R)-manoyl oxide + diphosphate	not specified	4.2.3.190	C/C(=C\COP(=O)([O-])OP(=O)([O-])[O-])CC[C@@H]1[C@@]2(C)CCCC(C)(C)[C@@H]2CC[C@@]1(C)O>>C=C[C@@]1(C)CC[C@H]2[C@@]3(C)CCCC(C)(C)[C@@H]3CC[C@@]2(C)O1.O=P([O-])([O-])OP(=O)([O-])O	CHEBI:64283 | CHEBI:138234; CHEBI:33019
A0A0A6ZFY4	RHEA:58004	https://www.rhea-db.org/rhea/58004	(20S)-ginsenoside F2 + UDP-alpha-D-glucose = (20S)-ginsenoside Rd + UDP + H(+)	left-to-right	2.4.1.365	CC(C)=CCC[C@](C)(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C(C)(C)[C@@H]3CC[C@]12C.O=C1C=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)C(=O)N1>>CC(C)=CCC[C@](C)(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C(C)(C)[C@@H]3CC[C@]12C.O=C1C=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)C(=O)N1.[H+]	CHEBI:77145; CHEBI:58885 | CHEBI:67988; CHEBI:58223; CHEBI:15378
A0A0A6ZFY4	RHEA:58000	https://www.rhea-db.org/rhea/58000	(20S)-ginsenoside Rh2 + UDP-alpha-D-glucose = (20S)-ginsenoside Rg3 + UDP + H(+)	left-to-right	2.4.1.365	CC(C)=CCC[C@](C)(O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C(C)(C)[C@@H]3CC[C@]12C.O=C1C=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)C(=O)N1>>CC(C)=CCC[C@](C)(O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C(C)(C)[C@@H]3CC[C@]12C.O=C1C=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)C(=O)N1.[H+]	CHEBI:77147; CHEBI:58885 | CHEBI:67991; CHEBI:58223; CHEBI:15378
A0A0E3D8M9	RHEA:22408	https://www.rhea-db.org/rhea/22408	isopentenyl diphosphate + dimethylallyl diphosphate = (2E)-geranyl diphosphate + diphosphate	not specified	2.5.1.1	C=C(C)CCOP(=O)([O-])OP(=O)([O-])[O-].CC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)=CCC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-].O=P([O-])([O-])OP(=O)([O-])O	CHEBI:128769; CHEBI:57623 | CHEBI:58057; CHEBI:33019
A0A0E3D8M9	RHEA:19361	https://www.rhea-db.org/rhea/19361	isopentenyl diphosphate + (2E)-geranyl diphosphate = (2E,6E)-farnesyl diphosphate + diphosphate	not specified	2.5.1.10	C=C(C)CCOP(=O)([O-])OP(=O)([O-])[O-].CC(C)=CCC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)=CCC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-].O=P([O-])([O-])OP(=O)([O-])O	CHEBI:128769; CHEBI:58057 | CHEBI:175763; CHEBI:33019
A0A0E3D8M9	RHEA:17653	https://www.rhea-db.org/rhea/17653	isopentenyl diphosphate + (2E,6E)-farnesyl diphosphate = (2E,6E,10E)-geranylgeranyl diphosphate + diphosphate	not specified	2.5.1.29	C=C(C)CCOP(=O)([O-])OP(=O)([O-])[O-].CC(C)=CCC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-].O=P([O-])([O-])OP(=O)([O-])O	CHEBI:128769; CHEBI:175763 | CHEBI:58756; CHEBI:33019
A0A0E3D8P4	RHEA:22408	https://www.rhea-db.org/rhea/22408	isopentenyl diphosphate + dimethylallyl diphosphate = (2E)-geranyl diphosphate + diphosphate	not specified	2.5.1.1	C=C(C)CCOP(=O)([O-])OP(=O)([O-])[O-].CC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)=CCC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-].O=P([O-])([O-])OP(=O)([O-])O	CHEBI:128769; CHEBI:57623 | CHEBI:58057; CHEBI:33019
A0A0E3D8P4	RHEA:19361	https://www.rhea-db.org/rhea/19361	isopentenyl diphosphate + (2E)-geranyl diphosphate = (2E,6E)-farnesyl diphosphate + diphosphate	not specified	2.5.1.10	C=C(C)CCOP(=O)([O-])OP(=O)([O-])[O-].CC(C)=CCC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)=CCC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-].O=P([O-])([O-])OP(=O)([O-])O	CHEBI:128769; CHEBI:58057 | CHEBI:175763; CHEBI:33019
