Entry	PMID_1	DOI_1	Title_1	Authors_1	Journal_1	Volume_1	Pages_1	Year_1	Type_1	Positions_1	URL_1	PMID_2	DOI_2	Title_2	Authors_2	Journal_2	Volume_2	Pages_2	Year_2	Type_2	Positions_2	URL_2	PMID_3	DOI_3	Title_3	Authors_3	Journal_3	Volume_3	Pages_3	Year_3	Type_3	Positions_3	URL_3	PMID_4	DOI_4	Title_4	Authors_4	Journal_4	Volume_4	Pages_4	Year_4	Type_4	Positions_4	URL_4	PMID_5	DOI_5	Title_5	Authors_5	Journal_5	Volume_5	Pages_5	Year_5	Type_5	Positions_5	URL_5	PMID_6	DOI_6	Title_6	Authors_6	Journal_6	Volume_6	Pages_6	Year_6	Type_6	Positions_6	URL_6	PMID_7	DOI_7	Title_7	Authors_7	Journal_7	Volume_7	Pages_7	Year_7	Type_7	Positions_7	URL_7	PMID_8	DOI_8	Title_8	Authors_8	Journal_8	Volume_8	Pages_8	Year_8	Type_8	Positions_8	URL_8	PMID_9	DOI_9	Title_9	Authors_9	Journal_9	Volume_9	Pages_9	Year_9	Type_9	Positions_9	URL_9	PMID_10	DOI_10	Title_10	Authors_10	Journal_10	Volume_10	Pages_10	Year_10	Type_10	Positions_10	URL_10	PMID_11	DOI_11	Title_11	Authors_11	Journal_11	Volume_11	Pages_11	Year_11	Type_11	Positions_11	URL_11	PMID_12	DOI_12	Title_12	Authors_12	Journal_12	Volume_12	Pages_12	Year_12	Type_12	Positions_12	URL_12	PMID_13	DOI_13	Title_13	Authors_13	Journal_13	Volume_13	Pages_13	Year_13	Type_13	Positions_13	URL_13	PMID_14	DOI_14	Title_14	Authors_14	Journal_14	Volume_14	Pages_14	Year_14	Type_14	Positions_14	URL_14	PMID_15	DOI_15	Title_15	Authors_15	Journal_15	Volume_15	Pages_15	Year_15	Type_15	Positions_15	URL_15	PMID_16	DOI_16	Title_16	Authors_16	Journal_16	Volume_16	Pages_16	Year_16	Type_16	Positions_16	URL_16	PMID_17	DOI_17	Title_17	Authors_17	Journal_17	Volume_17	Pages_17	Year_17	Type_17	Positions_17	URL_17	PMID_18	DOI_18	Title_18	Authors_18	Journal_18	Volume_18	Pages_18	Year_18	Type_18	Positions_18	URL_18	PMID_19	DOI_19	Title_19	Authors_19	Journal_19	Volume_19	Pages_19	Year_19	Type_19	Positions_19	URL_19	PMID_20	DOI_20	Title_20	Authors_20	Journal_20	Volume_20	Pages_20	Year_20	Type_20	Positions_20	URL_20	PMID_21	DOI_21	Title_21	Authors_21	Journal_21	Volume_21	Pages_21	Year_21	Type_21	Positions_21	URL_21	PMID_22	DOI_22	Title_22	Authors_22	Journal_22	Volume_22	Pages_22	Year_22	Type_22	Positions_22	URL_22	PMID_23	DOI_23	Title_23	Authors_23	Journal_23	Volume_23	Pages_23	Year_23	Type_23	Positions_23	URL_23	PMID_24	DOI_24	Title_24	Authors_24	Journal_24	Volume_24	Pages_24	Year_24	Type_24	Positions_24	URL_24	PMID_25	DOI_25	Title_25	Authors_25	Journal_25	Volume_25	Pages_25	Year_25	Type_25	Positions_25	URL_25	PMID_26	DOI_26	Title_26	Authors_26	Journal_26	Volume_26	Pages_26	Year_26	Type_26	Positions_26	URL_26	PMID_27	DOI_27	Title_27	Authors_27	Journal_27	Volume_27	Pages_27	Year_27	Type_27	Positions_27	URL_27	PMID_28	DOI_28	Title_28	Authors_28	Journal_28	Volume_28	Pages_28	Year_28	Type_28	Positions_28	URL_28	PMID_29	DOI_29	Title_29	Authors_29	Journal_29	Volume_29	Pages_29	Year_29	Type_29	Positions_29	URL_29	PMID_30	DOI_30	Title_30	Authors_30	Journal_30	Volume_30	Pages_30	Year_30	Type_30	Positions_30	URL_30	PMID_31	DOI_31	Title_31	Authors_31	Journal_31	Volume_31	Pages_31	Year_31	Type_31	Positions_31	URL_31	PMID_32	DOI_32	Title_32	Authors_32	Journal_32	Volume_32	Pages_32	Year_32	Type_32	Positions_32	URL_32	PMID_33	DOI_33	Title_33	Authors_33	Journal_33	Volume_33	Pages_33	Year_33	Type_33	Positions_33	URL_33	PMID_34	DOI_34	Title_34	Authors_34	Journal_34	Volume_34	Pages_34	Year_34	Type_34	Positions_34	URL_34	PMID_35	DOI_35	Title_35	Authors_35	Journal_35	Volume_35	Pages_35	Year_35	Type_35	Positions_35	URL_35	PMID_36	DOI_36	Title_36	Authors_36	Journal_36	Volume_36	Pages_36	Year_36	Type_36	Positions_36	URL_36
A0A060KY90	24884371	10.1186/1471-2164-15-402	RNA sequencing on Solanum lycopersicum trichomes identifies transcription factors that activate terpene synthase promoters.	Spyropoulou E.A.; Haring M.A.; Schuurink R.C.	BMC Genomics	15	402-402	2014	journal article	NUCLEOTIDE SEQUENCE [MRNA]; FUNCTION; TISSUE SPECIFICITY	https://pubmed.ncbi.nlm.nih.gov/24884371/	22660326	10.1038/nature11119	The tomato genome sequence provides insights into fleshy fruit evolution.		Nature	485	635-641	2012	journal article	NUCLEOTIDE SEQUENCE [LARGE SCALE GENOMIC DNA]	https://pubmed.ncbi.nlm.nih.gov/22660326/	15231736	10.1101/gad.297704	Conserved MYC transcription factors play a key role in jasmonate signaling both in tomato and Arabidopsis.	Boter M.; Ruiz-Rivero O.; Abdeen A.; Prat S.	Genes Dev.	18	1577-1591	2004	journal article	FUNCTION; TISSUE SPECIFICITY; INDUCTION	https://pubmed.ncbi.nlm.nih.gov/15231736/	30518626	10.1105/tpc.18.00571	SlMYC1 regulates type VI glandular trichome formation and terpene biosynthesis in tomato glandular cells.	Xu J.; van Herwijnen Z.O.; Draeger D.B.; Sui C.; Haring M.A.; Schuurink R.C.	Plant Cell	30	2988-3005	2018	journal article	FUNCTION; DISRUPTION PHENOTYPE; MUTAGENESIS OF GLU-161	https://pubmed.ncbi.nlm.nih.gov/30518626/																																																																																																																																																																																																																																																																																																																																																																
A0A067DDU9				Gmitter F.; Chen C.; Farmerie W.; Harkins T.; Desany B.; Mohiuddin M.; Kodira C.; Borodovsky M.; Lomsadze A.; Burns P.; Jenkins J.; Prochnik S.; Shu S.; Chapman J.; Pitluck S.; Schmutz J.; Rokhsar D.				APR-2014	submission	NUCLEOTIDE SEQUENCE [LARGE SCALE GENOMIC DNA]		31371503	10.1073/pnas.1906083116	Identification of key enzymes responsible for protolimonoid biosynthesis in plants: Opening the door to azadirachtin production.	Hodgson H.; De La Pena R.; Stephenson M.J.; Thimmappa R.; Vincent J.L.; Sattely E.S.; Osbourn A.	Proc. Natl. Acad. Sci. U.S.A.	116	17096-17104	2019	journal article	FUNCTION; CATALYTIC ACTIVITY; PATHWAY	https://pubmed.ncbi.nlm.nih.gov/31371503/																																																																																																																																																																																																																																																																																																																																																																																						
A0A067ECN5				Gmitter F.; Chen C.; Farmerie W.; Harkins T.; Desany B.; Mohiuddin M.; Kodira C.; Borodovsky M.; Lomsadze A.; Burns P.; Jenkins J.; Prochnik S.; Shu S.; Chapman J.; Pitluck S.; Schmutz J.; Rokhsar D.				APR-2014	submission	NUCLEOTIDE SEQUENCE [LARGE SCALE GENOMIC DNA]		31371503	10.1073/pnas.1906083116	Identification of key enzymes responsible for protolimonoid biosynthesis in plants: Opening the door to azadirachtin production.	Hodgson H.; De La Pena R.; Stephenson M.J.; Thimmappa R.; Vincent J.L.; Sattely E.S.; Osbourn A.	Proc. Natl. Acad. Sci. U.S.A.	116	17096-17104	2019	journal article	FUNCTION; CATALYTIC ACTIVITY; PATHWAY	https://pubmed.ncbi.nlm.nih.gov/31371503/																																																																																																																																																																																																																																																																																																																																																																																						
A0A067FI21				Gmitter F.; Chen C.; Farmerie W.; Harkins T.; Desany B.; Mohiuddin M.; Kodira C.; Borodovsky M.; Lomsadze A.; Burns P.; Jenkins J.; Prochnik S.; Shu S.; Chapman J.; Pitluck S.; Schmutz J.; Rokhsar D.				APR-2014	submission	NUCLEOTIDE SEQUENCE [LARGE SCALE GENOMIC DNA]		31371503	10.1073/pnas.1906083116	Identification of key enzymes responsible for protolimonoid biosynthesis in plants: Opening the door to azadirachtin production.	Hodgson H.; De La Pena R.; Stephenson M.J.; Thimmappa R.; Vincent J.L.; Sattely E.S.; Osbourn A.	Proc. Natl. Acad. Sci. U.S.A.	116	17096-17104	2019	journal article	FUNCTION; CATALYTIC ACTIVITY; PATHWAY	https://pubmed.ncbi.nlm.nih.gov/31371503/																																																																																																																																																																																																																																																																																																																																																																																						
A0A067SEC9	24958869	10.1073/pnas.1400592111	Extensive sampling of basidiomycete genomes demonstrates inadequacy of the white-rot/brown-rot paradigm for wood decay fungi.	Riley R.; Salamov A.A.; Brown D.W.; Nagy L.G.; Floudas D.; Held B.W.; Levasseur A.; Lombard V.; Morin E.; Otillar R.; Lindquist E.A.; Sun H.; LaButti K.M.; Schmutz J.; Jabbour D.; Luo H.; Baker S.E.; Pisabarro A.G.; Walton J.D.; Blanchette R.A.; Henrissat B.; Martin F.; Cullen D.; Hibbett D.S.; Grigoriev I.V.	Proc. Natl. Acad. Sci. U.S.A.	111	9923-9928	2014	journal article	NUCLEOTIDE SEQUENCE [LARGE SCALE GENOMIC DNA]	https://pubmed.ncbi.nlm.nih.gov/24958869/	32233445	10.1021/acschembio.0c00155	Agrocybe aegerita serves as a gateway for identifying sesquiterpene biosynthetic enzymes in higher fungi.	Zhang C.; Chen X.; Orban A.; Shukal S.; Birk F.; Too H.P.; Ruehl M.	ACS Chem. Biol.	15	1268-1277	2020	journal article	FUNCTION; DOMAIN; CATALYTIC ACTIVITY	https://pubmed.ncbi.nlm.nih.gov/32233445/																																																																																																																																																																																																																																																																																																																																																																																						
A0A067Z9B6	24568283	10.1021/ja500881e	Generation of complexity in fungal terpene biosynthesis: discovery of a multifunctional cytochrome P450 in the fumagillin pathway.	Lin H.C.; Tsunematsu Y.; Dhingra S.; Xu W.; Fukutomi M.; Chooi Y.H.; Cane D.E.; Calvo A.M.; Watanabe K.; Tang Y.	J. Am. Chem. Soc.	136	4426-4436	2014	journal article	NUCLEOTIDE SEQUENCE [MRNA]; FUNCTION; CATALYTIC ACTIVITY	https://pubmed.ncbi.nlm.nih.gov/24568283/	16372009	10.1038/nature04332	Genomic sequence of the pathogenic and allergenic filamentous fungus Aspergillus fumigatus.	Nierman W.C.; Pain A.; Anderson M.J.; Wortman J.R.; Kim H.S.; Arroyo J.; Berriman M.; Abe K.; Archer D.B.; Bermejo C.; Bennett J.W.; Bowyer P.; Chen D.; Collins M.; Coulsen R.; Davies R.; Dyer P.S.; Farman M.L.; Fedorova N.; Fedorova N.D.; Feldblyum T.V.; Fischer R.; Fosker N.; Fraser A.; Garcia J.L.; Garcia M.J.; Goble A.; Goldman G.H.; Gomi K.; Griffith-Jones S.; Gwilliam R.; Haas B.J.; Haas H.; Harris D.E.; Horiuchi H.; Huang J.; Humphray S.; Jimenez J.; Keller N.; Khouri H.; Kitamoto K.; Kobayashi T.; Konzack S.; Kulkarni R.; Kumagai T.; Lafton A.; Latge J.-P.; Li W.; Lord A.; Lu C.; Majoros W.H.; May G.S.; Miller B.L.; Mohamoud Y.; Molina M.; Monod M.; Mouyna I.; Mulligan S.; Murphy L.D.; O'Neil S.; Paulsen I.; Penalva M.A.; Pertea M.; Price C.; Pritchard B.L.; Quail M.A.; Rabbinowitsch E.; Rawlins N.; Rajandream M.A.; Reichard U.; Renauld H.; Robson G.D.; Rodriguez de Cordoba S.; Rodriguez-Pena J.M.; Ronning C.M.; Rutter S.; Salzberg S.L.; Sanchez M.; Sanchez-Ferrero J.C.; Saunders D.; Seeger K.; Squares R.; Squares S.; Takeuchi M.; Tekaia F.; Turner G.; Vazquez de Aldana C.R.; Weidman J.; White O.; Woodward J.R.; Yu J.-H.; Fraser C.M.; Galagan J.E.; Asai K.; Machida M.; Hall N.; Barrell B.G.; Denning D.W.	Nature	438	1151-1156	2005	journal article	NUCLEOTIDE SEQUENCE [LARGE SCALE GENOMIC DNA]	https://pubmed.ncbi.nlm.nih.gov/16372009/	14913169	10.1126/science.115.2977.71	The treatment of amebiasis with fumagillin.	Killough J.H.; Magill G.B.; Smith R.C.	Science	115	71-72	1952	journal article	BIOTECHNOLOGY	https://pubmed.ncbi.nlm.nih.gov/14913169/	9177176	10.1073/pnas.94.12.6099	The anti-angiogenic agent fumagillin covalently binds and inhibits the methionine aminopeptidase, MetAP-2.	Sin N.; Meng L.; Wang M.Q.; Wen J.J.; Bornmann W.G.; Crews C.M.	Proc. Natl. Acad. Sci. U.S.A.	94	6099-6103	1997	journal article	BIOTECHNOLOGY	https://pubmed.ncbi.nlm.nih.gov/9177176/	12075057	10.1056/nejmoa012924	Fumagillin treatment of intestinal microsporidiosis.	Molina J.M.; Tourneur M.; Sarfati C.; Chevret S.; de Gouvello A.; Gobert J.G.; Balkan S.; Derouin F.	N. Engl. J. Med.	346	1963-1969	2002	journal article	BIOTECHNOLOGY	https://pubmed.ncbi.nlm.nih.gov/12075057/	18209961	10.1007/s00011-007-7075-5	An inhibitor of methionine aminopeptidase type-2, PPI-2458, ameliorates the pathophysiological disease processes of rheumatoid arthritis.	Lazarus D.D.; Doyle E.G.; Bernier S.G.; Rogers A.B.; Labenski M.T.; Wakefield J.D.; Karp R.M.; Clark E.J.; Lorusso J.; Hoyt J.G.; Thompson C.D.; Hannig G.; Westlin W.F.	Inflamm. Res.	57	18-27	2008	journal article	BIOTECHNOLOGY	https://pubmed.ncbi.nlm.nih.gov/18209961/	23488861	10.1021/ja312503y	The fumagillin biosynthetic gene cluster in Aspergillus fumigatus encodes a cryptic terpene cyclase involved in the formation of beta-trans-bergamotene.	Lin H.C.; Chooi Y.H.; Dhingra S.; Xu W.; Calvo A.M.; Tang Y.	J. Am. Chem. Soc.	135	4616-4619	2013	journal article	FUNCTION	https://pubmed.ncbi.nlm.nih.gov/23488861/	24116213	10.1371/journal.pone.0077147	The fumagillin gene cluster, an example of hundreds of genes under veA control in Aspergillus fumigatus.	Dhingra S.; Lind A.L.; Lin H.C.; Tang Y.; Rokas A.; Calvo A.M.	PLoS ONE	8	E77147-E77147	2013	journal article	INDUCTION	https://pubmed.ncbi.nlm.nih.gov/24116213/	24082142	10.1073/pnas.1313258110	Prototype of an intertwined secondary-metabolite supercluster.	Wiemann P.; Guo C.J.; Palmer J.M.; Sekonyela R.; Wang C.C.; Keller N.P.	Proc. Natl. Acad. Sci. U.S.A.	110	17065-17070	2013	journal article	IDENTIFICATION; INDUCTION; DISRUPTION PHENOTYPE	https://pubmed.ncbi.nlm.nih.gov/24082142/	30251593	10.1080/21505594.2018.1526528	A possible role for fumagillin in cellular damage during host infection by Aspergillus fumigatus.	Guruceaga X.; Ezpeleta G.; Mayayo E.; Sueiro-Olivares M.; Abad-Diaz-De-Cerio A.; Aguirre Urizar J.M.; Liu H.G.; Wiemann P.; Bok J.W.; Filler S.G.; Keller N.P.; Hernando F.L.; Ramirez-Garcia A.; Rementeria A.	Virulence	9	1548-1561	2018	journal article	INDUCTION	https://pubmed.ncbi.nlm.nih.gov/30251593/																																																																																																																																																																																																																																																																																														
A0A075F9Z3	24990389	10.1111/tpj.12589	Diterpene synthases of the biosynthetic system of medicinally active diterpenoids in Marrubium vulgare.	Zerbe P.; Chiang A.; Dullat H.; O'Neil-Johnson M.; Starks C.; Hamberger B.; Bohlmann J.	Plant J.	79	914-927	2014	journal article	NUCLEOTIDE SEQUENCE [MRNA]; FUNCTION; PATHWAY; TISSUE SPECIFICITY	https://pubmed.ncbi.nlm.nih.gov/24990389/																																																																																																																																																																																																																																																																																																																																																																																																	
A0A075FA51	24990389	10.1111/tpj.12589	Diterpene synthases of the biosynthetic system of medicinally active diterpenoids in Marrubium vulgare.	Zerbe P.; Chiang A.; Dullat H.; O'Neil-Johnson M.; Starks C.; Hamberger B.; Bohlmann J.	Plant J.	79	914-927	2014	journal article	NUCLEOTIDE SEQUENCE [MRNA]; FUNCTION; CATALYTIC ACTIVITY; PATHWAY; TISSUE SPECIFICITY	https://pubmed.ncbi.nlm.nih.gov/24990389/																																																																																																																																																																																																																																																																																																																																																																																																	
A0A075FAK4	24990389	10.1111/tpj.12589	Diterpene synthases of the biosynthetic system of medicinally active diterpenoids in Marrubium vulgare.	Zerbe P.; Chiang A.; Dullat H.; O'Neil-Johnson M.; Starks C.; Hamberger B.; Bohlmann J.	Plant J.	79	914-927	2014	journal article	NUCLEOTIDE SEQUENCE [MRNA]; FUNCTION; CATALYTIC ACTIVITY; PATHWAY; TISSUE SPECIFICITY	https://pubmed.ncbi.nlm.nih.gov/24990389/																																																																																																																																																																																																																																																																																																																																																																																																	
A0A075FBG7	24990389	10.1111/tpj.12589	Diterpene synthases of the biosynthetic system of medicinally active diterpenoids in Marrubium vulgare.	Zerbe P.; Chiang A.; Dullat H.; O'Neil-Johnson M.; Starks C.; Hamberger B.; Bohlmann J.	Plant J.	79	914-927	2014	journal article	NUCLEOTIDE SEQUENCE [MRNA]; FUNCTION; CATALYTIC ACTIVITY; PATHWAY; TISSUE SPECIFICITY	https://pubmed.ncbi.nlm.nih.gov/24990389/																																																																																																																																																																																																																																																																																																																																																																																																	
