Entry	INSDC_Nuc_ID_1	INSDC_Nuc_EMBL_Link_1	INSDC_Nuc_GenBank_Link_1	INSDC_Nuc_DDBJ_Link_1	INSDC_Prot_ID_1	INSDC_Prot_EMBL_Link_1	INSDC_Prot_GenBank_Link_1	INSDC_Prot_DDBJ_Link_1	INSDC_Molecule_1	INSDC_Nuc_ID_2	INSDC_Nuc_EMBL_Link_2	INSDC_Nuc_GenBank_Link_2	INSDC_Nuc_DDBJ_Link_2	INSDC_Prot_ID_2	INSDC_Prot_EMBL_Link_2	INSDC_Prot_GenBank_Link_2	INSDC_Prot_DDBJ_Link_2	INSDC_Molecule_2	INSDC_Nuc_ID_3	INSDC_Nuc_EMBL_Link_3	INSDC_Nuc_GenBank_Link_3	INSDC_Nuc_DDBJ_Link_3	INSDC_Prot_ID_3	INSDC_Prot_EMBL_Link_3	INSDC_Prot_GenBank_Link_3	INSDC_Prot_DDBJ_Link_3	INSDC_Molecule_3	INSDC_Nuc_ID_4	INSDC_Nuc_EMBL_Link_4	INSDC_Nuc_GenBank_Link_4	INSDC_Nuc_DDBJ_Link_4	INSDC_Prot_ID_4	INSDC_Prot_EMBL_Link_4	INSDC_Prot_GenBank_Link_4	INSDC_Prot_DDBJ_Link_4	INSDC_Molecule_4	INSDC_Nuc_ID_5	INSDC_Nuc_EMBL_Link_5	INSDC_Nuc_GenBank_Link_5	INSDC_Nuc_DDBJ_Link_5	INSDC_Prot_ID_5	INSDC_Prot_EMBL_Link_5	INSDC_Prot_GenBank_Link_5	INSDC_Prot_DDBJ_Link_5	INSDC_Molecule_5	INSDC_Nuc_ID_6	INSDC_Nuc_EMBL_Link_6	INSDC_Nuc_GenBank_Link_6	INSDC_Nuc_DDBJ_Link_6	INSDC_Prot_ID_6	INSDC_Prot_EMBL_Link_6	INSDC_Prot_GenBank_Link_6	INSDC_Prot_DDBJ_Link_6	INSDC_Molecule_6	INSDC_Nuc_ID_7	INSDC_Nuc_EMBL_Link_7	INSDC_Nuc_GenBank_Link_7	INSDC_Nuc_DDBJ_Link_7	INSDC_Prot_ID_7	INSDC_Prot_EMBL_Link_7	INSDC_Prot_GenBank_Link_7	INSDC_Prot_DDBJ_Link_7	INSDC_Molecule_7	INSDC_Nuc_ID_8	INSDC_Nuc_EMBL_Link_8	INSDC_Nuc_GenBank_Link_8	INSDC_Nuc_DDBJ_Link_8	INSDC_Prot_ID_8	INSDC_Prot_EMBL_Link_8	INSDC_Prot_GenBank_Link_8	INSDC_Prot_DDBJ_Link_8	INSDC_Molecule_8	INSDC_Nuc_ID_9	INSDC_Nuc_EMBL_Link_9	INSDC_Nuc_GenBank_Link_9	INSDC_Nuc_DDBJ_Link_9	INSDC_Prot_ID_9	INSDC_Prot_EMBL_Link_9	INSDC_Prot_GenBank_Link_9	INSDC_Prot_DDBJ_Link_9	INSDC_Molecule_9	INSDC_Nuc_ID_10	INSDC_Nuc_EMBL_Link_10	INSDC_Nuc_GenBank_Link_10	INSDC_Nuc_DDBJ_Link_10	INSDC_Prot_ID_10	INSDC_Prot_EMBL_Link_10	INSDC_Prot_GenBank_Link_10	INSDC_Prot_DDBJ_Link_10	INSDC_Molecule_10	INSDC_Nuc_ID_11	INSDC_Nuc_EMBL_Link_11	INSDC_Nuc_GenBank_Link_11	INSDC_Nuc_DDBJ_Link_11	INSDC_Prot_ID_11	INSDC_Prot_EMBL_Link_11	INSDC_Prot_GenBank_Link_11	INSDC_Prot_DDBJ_Link_11	INSDC_Molecule_11	INSDC_Nuc_ID_12	INSDC_Nuc_EMBL_Link_12	INSDC_Nuc_GenBank_Link_12	INSDC_Nuc_DDBJ_Link_12	INSDC_Prot_ID_12	INSDC_Prot_EMBL_Link_12	INSDC_Prot_GenBank_Link_12	INSDC_Prot_DDBJ_Link_12	INSDC_Molecule_12	INSDC_Nuc_ID_13	INSDC_Nuc_EMBL_Link_13	INSDC_Nuc_GenBank_Link_13	INSDC_Nuc_DDBJ_Link_13	INSDC_Prot_ID_13	INSDC_Prot_EMBL_Link_13	INSDC_Prot_GenBank_Link_13	INSDC_Prot_DDBJ_Link_13	INSDC_Molecule_13	INSDC_Nuc_ID_14	INSDC_Nuc_EMBL_Link_14	INSDC_Nuc_GenBank_Link_14	INSDC_Nuc_DDBJ_Link_14	INSDC_Prot_ID_14	INSDC_Prot_EMBL_Link_14	INSDC_Prot_GenBank_Link_14	INSDC_Prot_DDBJ_Link_14	INSDC_Molecule_14	INSDC_Nuc_ID_15	INSDC_Nuc_EMBL_Link_15	INSDC_Nuc_GenBank_Link_15	INSDC_Nuc_DDBJ_Link_15	INSDC_Prot_ID_15	INSDC_Prot_EMBL_Link_15	INSDC_Prot_GenBank_Link_15	INSDC_Prot_DDBJ_Link_15	INSDC_Molecule_15	INSDC_Nuc_ID_16	INSDC_Nuc_EMBL_Link_16	INSDC_Nuc_GenBank_Link_16	INSDC_Nuc_DDBJ_Link_16	INSDC_Prot_ID_16	INSDC_Prot_EMBL_Link_16	INSDC_Prot_GenBank_Link_16	INSDC_Prot_DDBJ_Link_16	INSDC_Molecule_16	INSDC_Nuc_ID_17	INSDC_Nuc_EMBL_Link_17	INSDC_Nuc_GenBank_Link_17	INSDC_Nuc_DDBJ_Link_17	INSDC_Prot_ID_17	INSDC_Prot_EMBL_Link_17	INSDC_Prot_GenBank_Link_17	INSDC_Prot_DDBJ_Link_17	INSDC_Molecule_17	INSDC_Nuc_ID_18	INSDC_Nuc_EMBL_Link_18	INSDC_Nuc_GenBank_Link_18	INSDC_Nuc_DDBJ_Link_18	INSDC_Prot_ID_18	INSDC_Prot_EMBL_Link_18	INSDC_Prot_GenBank_Link_18	INSDC_Prot_DDBJ_Link_18	INSDC_Molecule_18	INSDC_Nuc_ID_19	INSDC_Nuc_EMBL_Link_19	INSDC_Nuc_GenBank_Link_19	INSDC_Nuc_DDBJ_Link_19	INSDC_Prot_ID_19	INSDC_Prot_EMBL_Link_19	INSDC_Prot_GenBank_Link_19	INSDC_Prot_DDBJ_Link_19	INSDC_Molecule_19	INSDC_Nuc_ID_20	INSDC_Nuc_EMBL_Link_20	INSDC_Nuc_GenBank_Link_20	INSDC_Nuc_DDBJ_Link_20	INSDC_Prot_ID_20	INSDC_Prot_EMBL_Link_20	INSDC_Prot_GenBank_Link_20	INSDC_Prot_DDBJ_Link_20	INSDC_Molecule_20	INSDC_Nuc_ID_21	INSDC_Nuc_EMBL_Link_21	INSDC_Nuc_GenBank_Link_21	INSDC_Nuc_DDBJ_Link_21	INSDC_Prot_ID_21	INSDC_Prot_EMBL_Link_21	INSDC_Prot_GenBank_Link_21	INSDC_Prot_DDBJ_Link_21	INSDC_Molecule_21	INSDC_Nuc_ID_22	INSDC_Nuc_EMBL_Link_22	INSDC_Nuc_GenBank_Link_22	INSDC_Nuc_DDBJ_Link_22	INSDC_Prot_ID_22	INSDC_Prot_EMBL_Link_22	INSDC_Prot_GenBank_Link_22	INSDC_Prot_DDBJ_Link_22	INSDC_Molecule_22	INSDC_Nuc_ID_23	INSDC_Nuc_EMBL_Link_23	INSDC_Nuc_GenBank_Link_23	INSDC_Nuc_DDBJ_Link_23	INSDC_Prot_ID_23	INSDC_Prot_EMBL_Link_23	INSDC_Prot_GenBank_Link_23	INSDC_Prot_DDBJ_Link_23	INSDC_Molecule_23	INSDC_Nuc_ID_24	INSDC_Nuc_EMBL_Link_24	INSDC_Nuc_GenBank_Link_24	INSDC_Nuc_DDBJ_Link_24	INSDC_Prot_ID_24	INSDC_Prot_EMBL_Link_24	INSDC_Prot_GenBank_Link_24	INSDC_Prot_DDBJ_Link_24	INSDC_Molecule_24	RefSeq_Prot_ID_1	RefSeq_Prot_Link_1	RefSeq_Nuc_ID_1	RefSeq_Nuc_Link_1	RefSeq_Molecule_1	RefSeq_Prot_ID_2	RefSeq_Prot_Link_2	RefSeq_Nuc_ID_2	RefSeq_Nuc_Link_2	RefSeq_Molecule_2	RefSeq_Prot_ID_3	RefSeq_Prot_Link_3	RefSeq_Nuc_ID_3	RefSeq_Nuc_Link_3	RefSeq_Molecule_3	RefSeq_Prot_ID_4	RefSeq_Prot_Link_4	RefSeq_Nuc_ID_4	RefSeq_Nuc_Link_4	RefSeq_Molecule_4	RefSeq_Prot_ID_5	RefSeq_Prot_Link_5	RefSeq_Nuc_ID_5	RefSeq_Nuc_Link_5	RefSeq_Molecule_5	RefSeq_Prot_ID_6	RefSeq_Prot_Link_6	RefSeq_Nuc_ID_6	RefSeq_Nuc_Link_6	RefSeq_Molecule_6	RefSeq_Prot_ID_7	RefSeq_Prot_Link_7	RefSeq_Nuc_ID_7	RefSeq_Nuc_Link_7	RefSeq_Molecule_7	RefSeq_Prot_ID_8	RefSeq_Prot_Link_8	RefSeq_Nuc_ID_8	RefSeq_Nuc_Link_8	RefSeq_Molecule_8	RefSeq_Prot_ID_9	RefSeq_Prot_Link_9	RefSeq_Nuc_ID_9	RefSeq_Nuc_Link_9	RefSeq_Molecule_9	RefSeq_Prot_ID_10	RefSeq_Prot_Link_10	RefSeq_Nuc_ID_10	RefSeq_Nuc_Link_10	RefSeq_Molecule_10	RefSeq_Prot_ID_11	RefSeq_Prot_Link_11	RefSeq_Nuc_ID_11	RefSeq_Nuc_Link_11	RefSeq_Molecule_11
A0A060KY90	KF430611	https://www.ebi.ac.uk/ena/browser/view/KF430611	https://www.ncbi.nlm.nih.gov/nucleotide/KF430611	https://getentry.ddbj.nig.ac.jp/getentry/na/KF430611	AIC63945.1	https://www.ebi.ac.uk/ena/browser/view/AIC63945.1	https://www.ncbi.nlm.nih.gov/protein/AIC63945.1	https://getentry.ddbj.nig.ac.jp/getentry/aa/AIC63945.1	mRNA	CM001071	https://www.ebi.ac.uk/ena/browser/view/CM001071	https://www.ncbi.nlm.nih.gov/nucleotide/CM001071	https://getentry.ddbj.nig.ac.jp/getentry/na/CM001071	-				Genomic_DNA																																																																																																																																																																																																							NP_001288107.1	https://www.ncbi.nlm.nih.gov/protein/NP_001288107.1	NM_001301178.2	https://www.ncbi.nlm.nih.gov/nucleotide/NM_001301178.2																																																			
A0A067DDU9	KK786358	https://www.ebi.ac.uk/ena/browser/view/KK786358	https://www.ncbi.nlm.nih.gov/nucleotide/KK786358	https://getentry.ddbj.nig.ac.jp/getentry/na/KK786358	KDO39700.1	https://www.ebi.ac.uk/ena/browser/view/KDO39700.1	https://www.ncbi.nlm.nih.gov/protein/KDO39700.1	https://getentry.ddbj.nig.ac.jp/getentry/aa/KDO39700.1	Genomic_DNA																																																																																																																																																																																																																																																																						
A0A067ECN5	KK785125	https://www.ebi.ac.uk/ena/browser/view/KK785125	https://www.ncbi.nlm.nih.gov/nucleotide/KK785125	https://getentry.ddbj.nig.ac.jp/getentry/na/KK785125	KDO48982.1	https://www.ebi.ac.uk/ena/browser/view/KDO48982.1	https://www.ncbi.nlm.nih.gov/protein/KDO48982.1	https://getentry.ddbj.nig.ac.jp/getentry/aa/KDO48982.1	Genomic_DNA																																																																																																																																																																																																																																																																						
A0A067FI21	KK784898	https://www.ebi.ac.uk/ena/browser/view/KK784898	https://www.ncbi.nlm.nih.gov/nucleotide/KK784898	https://getentry.ddbj.nig.ac.jp/getentry/na/KK784898	KDO67049.1	https://www.ebi.ac.uk/ena/browser/view/KDO67049.1	https://www.ncbi.nlm.nih.gov/protein/KDO67049.1	https://getentry.ddbj.nig.ac.jp/getentry/aa/KDO67049.1	Genomic_DNA																																																																																																																																																																																																																																																																						
A0A067SEC9	KL142403	https://www.ebi.ac.uk/ena/browser/view/KL142403	https://www.ncbi.nlm.nih.gov/nucleotide/KL142403	https://getentry.ddbj.nig.ac.jp/getentry/na/KL142403	KDR69261.1	https://www.ebi.ac.uk/ena/browser/view/KDR69261.1	https://www.ncbi.nlm.nih.gov/protein/KDR69261.1	https://getentry.ddbj.nig.ac.jp/getentry/aa/KDR69261.1	Genomic_DNA																																																																																																																																																																																																																																																																						
A0A067Z9B6	KJ187001	https://www.ebi.ac.uk/ena/browser/view/KJ187001	https://www.ncbi.nlm.nih.gov/nucleotide/KJ187001	https://getentry.ddbj.nig.ac.jp/getentry/na/KJ187001	AHL19974.1	https://www.ebi.ac.uk/ena/browser/view/AHL19974.1	https://www.ncbi.nlm.nih.gov/protein/AHL19974.1	https://getentry.ddbj.nig.ac.jp/getentry/aa/AHL19974.1	mRNA	AAHF01000014	https://www.ebi.ac.uk/ena/browser/view/AAHF01000014	https://www.ncbi.nlm.nih.gov/nucleotide/AAHF01000014	https://getentry.ddbj.nig.ac.jp/getentry/na/AAHF01000014	EAL85127.1	https://www.ebi.ac.uk/ena/browser/view/EAL85127.1	https://www.ncbi.nlm.nih.gov/protein/EAL85127.1	https://getentry.ddbj.nig.ac.jp/getentry/aa/EAL85127.1	Genomic_DNA	AAHF01000014	https://www.ebi.ac.uk/ena/browser/view/AAHF01000014	https://www.ncbi.nlm.nih.gov/nucleotide/AAHF01000014	https://getentry.ddbj.nig.ac.jp/getentry/na/AAHF01000014	EAL85126.1	https://www.ebi.ac.uk/ena/browser/view/EAL85126.1	https://www.ncbi.nlm.nih.gov/protein/EAL85126.1	https://getentry.ddbj.nig.ac.jp/getentry/aa/EAL85126.1	Genomic_DNA																																																																																																																																																																																														XP_747164.1	https://www.ncbi.nlm.nih.gov/protein/XP_747164.1	XM_742071.1	https://www.ncbi.nlm.nih.gov/nucleotide/XM_742071.1		XP_747165.1	https://www.ncbi.nlm.nih.gov/protein/XP_747165.1	XM_742072.1	https://www.ncbi.nlm.nih.gov/nucleotide/XM_742072.1																																														
A0A075F9Z3	KJ584451	https://www.ebi.ac.uk/ena/browser/view/KJ584451	https://www.ncbi.nlm.nih.gov/nucleotide/KJ584451	https://getentry.ddbj.nig.ac.jp/getentry/na/KJ584451	AIE77091.1	https://www.ebi.ac.uk/ena/browser/view/AIE77091.1	https://www.ncbi.nlm.nih.gov/protein/AIE77091.1	https://getentry.ddbj.nig.ac.jp/getentry/aa/AIE77091.1	mRNA																																																																																																																																																																																																																																																																						
A0A075FA51	KJ584452	https://www.ebi.ac.uk/ena/browser/view/KJ584452	https://www.ncbi.nlm.nih.gov/nucleotide/KJ584452	https://getentry.ddbj.nig.ac.jp/getentry/na/KJ584452	AIE77092.1	https://www.ebi.ac.uk/ena/browser/view/AIE77092.1	https://www.ncbi.nlm.nih.gov/protein/AIE77092.1	https://getentry.ddbj.nig.ac.jp/getentry/aa/AIE77092.1	mRNA																																																																																																																																																																																																																																																																						
A0A075FAK4	KJ584450	https://www.ebi.ac.uk/ena/browser/view/KJ584450	https://www.ncbi.nlm.nih.gov/nucleotide/KJ584450	https://getentry.ddbj.nig.ac.jp/getentry/na/KJ584450	AIE77090.1	https://www.ebi.ac.uk/ena/browser/view/AIE77090.1	https://www.ncbi.nlm.nih.gov/protein/AIE77090.1	https://getentry.ddbj.nig.ac.jp/getentry/aa/AIE77090.1	mRNA																																																																																																																																																																																																																																																																						
A0A075FBG7	KJ584454	https://www.ebi.ac.uk/ena/browser/view/KJ584454	https://www.ncbi.nlm.nih.gov/nucleotide/KJ584454	https://getentry.ddbj.nig.ac.jp/getentry/na/KJ584454	AIE77094.1	https://www.ebi.ac.uk/ena/browser/view/AIE77094.1	https://www.ncbi.nlm.nih.gov/protein/AIE77094.1	https://getentry.ddbj.nig.ac.jp/getentry/aa/AIE77094.1	mRNA																																																																																																																																																																																																																																																																						
A0A075FBT3	KJ584453	https://www.ebi.ac.uk/ena/browser/view/KJ584453	https://www.ncbi.nlm.nih.gov/nucleotide/KJ584453	https://getentry.ddbj.nig.ac.jp/getentry/na/KJ584453	AIE77093.1	https://www.ebi.ac.uk/ena/browser/view/AIE77093.1	https://www.ncbi.nlm.nih.gov/protein/AIE77093.1	https://getentry.ddbj.nig.ac.jp/getentry/aa/AIE77093.1	mRNA																																																																																																																																																																																																																																																																						
A0A084R1H6	KL659308	https://www.ebi.ac.uk/ena/browser/view/KL659308	https://www.ncbi.nlm.nih.gov/nucleotide/KL659308	https://getentry.ddbj.nig.ac.jp/getentry/na/KL659308	KFA70061.1	https://www.ebi.ac.uk/ena/browser/view/KFA70061.1	https://www.ncbi.nlm.nih.gov/protein/KFA70061.1	https://getentry.ddbj.nig.ac.jp/getentry/aa/KFA70061.1	Genomic_DNA																																																																																																																																																																																																																																																																						
A0A084R1I1	KL659308	https://www.ebi.ac.uk/ena/browser/view/KL659308	https://www.ncbi.nlm.nih.gov/nucleotide/KL659308	https://getentry.ddbj.nig.ac.jp/getentry/na/KL659308	KFA70066.1	https://www.ebi.ac.uk/ena/browser/view/KFA70066.1	https://www.ncbi.nlm.nih.gov/protein/KFA70066.1	https://getentry.ddbj.nig.ac.jp/getentry/aa/KFA70066.1	Genomic_DNA																																																																																																																																																																																																																																																																						
A0A084R1I4	KL659308	https://www.ebi.ac.uk/ena/browser/view/KL659308	https://www.ncbi.nlm.nih.gov/nucleotide/KL659308	https://getentry.ddbj.nig.ac.jp/getentry/na/KL659308	KFA70069.1	https://www.ebi.ac.uk/ena/browser/view/KFA70069.1	https://www.ncbi.nlm.nih.gov/protein/KFA70069.1	https://getentry.ddbj.nig.ac.jp/getentry/aa/KFA70069.1	Genomic_DNA																																																																																																																																																																																																																																																																						
A0A084R1J1	KL659308	https://www.ebi.ac.uk/ena/browser/view/KL659308	https://www.ncbi.nlm.nih.gov/nucleotide/KL659308	https://getentry.ddbj.nig.ac.jp/getentry/na/KL659308	KFA70076.1	https://www.ebi.ac.uk/ena/browser/view/KFA70076.1	https://www.ncbi.nlm.nih.gov/protein/KFA70076.1	https://getentry.ddbj.nig.ac.jp/getentry/aa/KFA70076.1	Genomic_DNA																																																																																																																																																																																																																																																																						
A0A084R1J2	KL659308	https://www.ebi.ac.uk/ena/browser/view/KL659308	https://www.ncbi.nlm.nih.gov/nucleotide/KL659308	https://getentry.ddbj.nig.ac.jp/getentry/na/KL659308	KFA70077.1	https://www.ebi.ac.uk/ena/browser/view/KFA70077.1	https://www.ncbi.nlm.nih.gov/protein/KFA70077.1	https://getentry.ddbj.nig.ac.jp/getentry/aa/KFA70077.1	Genomic_DNA																																																																																																																																																																																																																																																																						
