Entry	UniProt Link	Entry Name	Organism	Recommended name	Alternative names	Gene Names
A0A060KY90	https://www.uniprot.org/uniprotkb/A0A060KY90	MYC1_SOLLC	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	Transcription factor MYC1	SlMYC1	MYC1
A0A067DDU9	https://www.uniprot.org/uniprotkb/A0A067DDU9	OSC3_CITSI	Citrus sinensis (Sweet orange) (Citrus aurantium var. sinensis)	Lupeol synthase OSC3 (EC 5.4.99.41)	Oxidosqualene cyclase 3 (EC 5.4.99.41); CsOSC3 (EC 5.4.99.41)	OSC3
A0A067ECN5	https://www.uniprot.org/uniprotkb/A0A067ECN5	OSC1_CITSI	Citrus sinensis (Sweet orange) (Citrus aurantium var. sinensis)	Tirucalladienol synthase OSC1 (EC 5.4.99.56)	Oxidosqualene cyclase 1 (EC 5.4.99.56); CsOSC1 (EC 5.4.99.56)	OSC1
A0A067FI21	https://www.uniprot.org/uniprotkb/A0A067FI21	OSC2_CITSI	Citrus sinensis (Sweet orange) (Citrus aurantium var. sinensis)	Beta-amyrin synthase OSC2 (EC 5.4.99.39)	Oxidosqualene cyclase 2 (EC 5.4.99.39); CsOSC2 (EC 5.4.99.39)	OSC2
A0A067SEC9	https://www.uniprot.org/uniprotkb/A0A067SEC9	TERS_GALM3	Galerina marginata (strain CBS 339.88)	Sesquiterpene synthase GALMADRAFT_104215 (EC 4.2.3.-)	Terpene cyclase GALMADRAFT_104215 (EC 4.2.3.-); beta-gurjunene synthase (EC 4.2.3.-)	
A0A067Z9B6	https://www.uniprot.org/uniprotkb/A0A067Z9B6	FMAD_ASPFU	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) (Neosartorya fumigata)	O-methyltransferase af390-400 (EC 2.1.1.387)	5-dehydro-6-demethoxy-6-hydroxyfumagillol O-methyltransferase (EC 2.1.1.387); Fumagillin biosynthesis methyltransferase (EC 2.1.1.387); Fma-MT (EC 2.1.1.387)	af390-400
A0A075F9Z3	https://www.uniprot.org/uniprotkb/A0A075F9Z3	CPS2_MARVU	Marrubium vulgare (White horehound)	ent-copalyl diphosphate synthase 2, chloroplastic (EC 4.2.-.-)	MvCPS2 (EC 4.2.-.-)	CPS2
A0A075FA51	https://www.uniprot.org/uniprotkb/A0A075FA51	CPS3_MARVU	Marrubium vulgare (White horehound)	(+)-copalyl diphosphate synthase 3, chloroplastic (MvCPS3) (EC 5.5.1.12)	MvCPS3 (EC 5.5.1.12)	CPS3
A0A075FAK4	https://www.uniprot.org/uniprotkb/A0A075FAK4	CPS1_MARVU	Marrubium vulgare (White horehound)	Peregrinol diphosphate synthase CPS1, chloroplastic (EC 4.2.1.174)	(+)-copalyl diphosphate synthase 1 (EC 4.2.1.174); MvCPS1 (EC 4.2.1.174)	CPS1
A0A075FBG7	https://www.uniprot.org/uniprotkb/A0A075FBG7	ELS_MARVU	Marrubium vulgare (White horehound)	9,13-epoxylabda-14-ene synthase, chloroplastic (EC 4.2.3.189)	Manoyl oxide synthase (EC 4.2.3.190); Miltiradiene synthase (EC 4.2.3.131)	ELS
A0A075FBT3	https://www.uniprot.org/uniprotkb/A0A075FBT3	EKS_MARVU	Marrubium vulgare (White horehound)	Ent-kaurene synthase, chloroplastic (EC 4.2.3.19)		EKS
A0A084R1H6	https://www.uniprot.org/uniprotkb/A0A084R1H6	ATR6_STAC4	Stachybotrys chlorohalonatus (strain IBT 40285)	Highly reducing polyketide synthase ATR6 (EC 2.3.1.-)	Core atranone cluster (CAC) protein 6 (EC 2.3.1.-)	ATR6
A0A084R1I1	https://www.uniprot.org/uniprotkb/A0A084R1I1	ATR12_STAC4	Stachybotrys chlorohalonatus (strain IBT 40285)	O-methyltransferase ATR12 (EC 2.1.1.-)	Core atranone cluster (CAC) protein 12 (EC 2.1.1.-)	ATR12
A0A084R1I4	https://www.uniprot.org/uniprotkb/A0A084R1I4	ATR10_STAC4	Stachybotrys chlorohalonatus (strain IBT 40285)	Short-chain dehydrogenase/reductase ATR10 (EC 1.-.-.-)	Core atranone cluster (CAC) protein 10 (EC 1.-.-.-)	ATR10
A0A084R1J1	https://www.uniprot.org/uniprotkb/A0A084R1J1	ATR3_STAC4	Stachybotrys chlorohalonatus (strain IBT 40285)	Cytochrome P450 monooxygenase ATR3 (EC 1.-.-.-)	Core atranone cluster (CAC) protein 3 (EC 1.-.-.-)	ATR3
A0A084R1J2	https://www.uniprot.org/uniprotkb/A0A084R1J2	ATR14_STAC4	Stachybotrys chlorohalonatus (strain IBT 40285)	Cytochrome P450 monooxygenase ATR14 (EC 1.-.-.-)	Core atranone cluster (CAC) protein 14 (EC 1.-.-.-)	ATR14
A0A084R1J7	https://www.uniprot.org/uniprotkb/A0A084R1J7	ATR8_STAC4	Stachybotrys chlorohalonatus (strain IBT 40285)	Baeyer-Villiger monooxygenase ATR8 (EC 1.14.13.-)	Core atranone cluster (CAC) protein 8 (EC 1.14.13.-)	ATR8
A0A084R1K1	https://www.uniprot.org/uniprotkb/A0A084R1K1	ATR7_STAC4	Stachybotrys chlorohalonatus (strain IBT 40285)	Short-chain dehydrogenase/reductase ATR7 (EC 1.-.-.-)	Core atranone cluster (CAC) protein 7 (EC 1.-.-.-)	ATR7
A0A084R1K2	https://www.uniprot.org/uniprotkb/A0A084R1K2	ATR9_STAC4	Stachybotrys chlorohalonatus (strain IBT 40285)	Short-chain dehydrogenase/reductase ATR9 (EC 1.-.-.-)	Core atranone cluster (CAC) protein 9 (EC 1.-.-.-)	ATR9
A0A084R1K6	https://www.uniprot.org/uniprotkb/A0A084R1K6	ATR5_STAC4	Stachybotrys chlorohalonatus (strain IBT 40285)	Polyketide transferase ATR5 (EC 2.3.-.-)	Core atranone cluster (CAC) protein 5 (EC 2.3.-.-)	ATR5
A0A084R1K7	https://www.uniprot.org/uniprotkb/A0A084R1K7	ATR13_STAC4	Stachybotrys chlorohalonatus (strain IBT 40285)	Terpene cyclase ATR13 (EC 4.2.3.-)	Core atranone cluster (CAC) protein 13 (EC 4.2.3.-)	ATR13
A0A084R1M6	https://www.uniprot.org/uniprotkb/A0A084R1M6	ATR2_STAC4	Stachybotrys chlorohalonatus (strain IBT 40285)	Cytochrome P450 monooxygenase ATR2 (EC 1.-.-.-)	Core atranone cluster (CAC) protein 2 (EC 1.-.-.-)	ATR2
A0A084R1M7	https://www.uniprot.org/uniprotkb/A0A084R1M7	ATR4_STAC4	Stachybotrys chlorohalonatus (strain IBT 40285)	Cytochrome P450 monooxygenase ATR4 (EC 1.-.-.-)	Core atranone cluster (CAC) protein 4 (EC 1.-.-.-)	ATR4
A0A084R1N2	https://www.uniprot.org/uniprotkb/A0A084R1N2	ATR1_STAC4	Stachybotrys chlorohalonatus (strain IBT 40285)	Core atranone cluster	CAC	ATR1
A0A084R1N8	https://www.uniprot.org/uniprotkb/A0A084R1N8	ATR11_STAC4	Stachybotrys chlorohalonatus (strain IBT 40285)	Core atranone cluster	CAC	ATR11
A0A097ZPC9	https://www.uniprot.org/uniprotkb/A0A097ZPC9	ANDC_EMEVA	Emericella variicolor (Aspergillus stellatus)	Short chain dehydrogenase andC (EC 1.1.1.-)	Anditomin synthesis protein C (EC 1.1.1.-)	andC
A0A097ZPD4	https://www.uniprot.org/uniprotkb/A0A097ZPD4	ANDH_EMEVA	Emericella variicolor (Aspergillus stellatus)	Oxidoreductase andH (EC 1.-.-.-)	Anditomin synthesis protein H (EC 1.-.-.-)	andH
A0A097ZPD5	https://www.uniprot.org/uniprotkb/A0A097ZPD5	ANDA_EMEVA	Emericella variicolor (Aspergillus stellatus)	Dioxygenase andA (EC 1.14.11.-)	Anditomin synthesis protein A (EC 1.14.11.-)	andA
A0A097ZPD8	https://www.uniprot.org/uniprotkb/A0A097ZPD8	ANDB_EMEVA	Emericella variicolor (Aspergillus stellatus)	Terpene cyclase andB (EC 4.2.3.-)	Anditomin synthesis protein B (EC 4.2.3.-)	andB
A0A097ZPD9	https://www.uniprot.org/uniprotkb/A0A097ZPD9	ANDF_EMEVA	Emericella variicolor (Aspergillus stellatus)	Dioxygenase andF (EC 1.14.11.-)	Anditomin synthesis protein F (EC 1.14.11.-)	andF
A0A097ZPE0	https://www.uniprot.org/uniprotkb/A0A097ZPE0	ANDM_EMEVA	Emericella variicolor (Aspergillus stellatus)	Non-reducing polyketide synthase andM (EC 2.3.1.-)	Anditomin synthesis protein M (EC 2.3.1.-)	andM
A0A097ZPE2	https://www.uniprot.org/uniprotkb/A0A097ZPE2	ANDG_EMEVA	Emericella variicolor (Aspergillus stellatus)	O-acetyltransferase andG (EC 2.3.1.-)	Anditomin synthesis protein G (EC 2.3.1.-)	andG
A0A097ZPE3	https://www.uniprot.org/uniprotkb/A0A097ZPE3	ANDD_EMEVA	Emericella variicolor (Aspergillus stellatus)	Polyprenyl transferase andD (EC 2.5.1.-)	Anditomin synthesis protein D (EC 2.5.1.-)	andD
A0A097ZPE4	https://www.uniprot.org/uniprotkb/A0A097ZPE4	ANDK_EMEVA	Emericella variicolor (Aspergillus stellatus)	Cytochrome P450 monooxygenase andK (EC 1.-.-.-)	Anditomin synthesis protein K (EC 1.-.-.-)	andK
A0A097ZPE6	https://www.uniprot.org/uniprotkb/A0A097ZPE6	ANDL_EMEVA	Emericella variicolor (Aspergillus stellatus)	Anditomin synthesis protein L		andL
A0A097ZPE8	https://www.uniprot.org/uniprotkb/A0A097ZPE8	ANDI_EMEVA	Emericella variicolor (Aspergillus stellatus)	Short chain dehydrogenase andI (EC 1.1.1.-)	Anditomin synthesis protein I (EC 1.1.1.-)	andI
A0A097ZPF7	https://www.uniprot.org/uniprotkb/A0A097ZPF7	ANDE_EMEVA	Emericella variicolor (Aspergillus stellatus)	FAD-dependent monooxygenase andE (EC 1.-.-.-)	Anditomin synthesis protein E (EC 1.-.-.-)	andE
A0A097ZPG2	https://www.uniprot.org/uniprotkb/A0A097ZPG2	ANDJ_EMEVA	Emericella variicolor (Aspergillus stellatus)	FAD-binding monooxygenase andJ (EC 1.14.13.-)	Anditomin synthesis protein J (EC 1.14.13.-)	andJ
